Bus, kVbase, Vpu, Vdeg, CN id
1, 138.000,  0.985360,-11.724119,27853610-B4B4-4896-9156-F068CC6F3C41
2, 138.000,  0.985305,-11.185068,DB17FA1E-4C06-4979-9DC7-8A0B446AD712
3, 138.000,  0.989236,-11.108783,30C7B932-36BB-42C8-9BED-44072759A8CA
4, 138.000,  1.004466, -8.722594,2E65B331-D95A-494F-A26B-5D9B0B3ED4E5
5, 138.000,  1.007230, -8.454247,A2CD9DEF-F339-4260-9D1C-18228C7B1B28
6, 138.000,  0.994149,-10.067125,6C7523EE-785B-429E-850F-CABFE5D33AF5
7, 138.000,  0.992274,-10.296616,AEEEBC4C-0AEC-4F52-A400-CCE5FAD28FC6
8, 345.000,  1.016972, -5.380669,074DAD71-0F71-4565-AD94-EBD4C3AD40D6
9, 345.000,  1.043291, -2.055580,5A880B83-D621-4436-9663-44A7452ED909
10, 345.000,  1.034898,  1.568479,2D043FF1-406D-4CED-982A-76217FB45745
11, 138.000,  0.991505,-10.105088,851139CA-C7B7-4E9D-87E0-0F65192D78D0
12, 138.000,  0.990311,-10.423165,D8E901A6-D115-443F-966F-86978DA79F41
13, 138.000,  0.985477,-10.386946,01DD70D7-1101-417D-9301-5F15252519D5
14, 138.000,  0.992393,-10.197031,C6E2A26D-9DAA-417B-ABC5-B6741FB6F2A6
15, 138.000,  0.998882, -8.439511,0960EF82-D800-49EE-89B7-C3D7C4A328FB
16, 138.000,  0.992997, -9.821159,18961801-9D07-4D25-93E3-2A8CB866B49D
17, 138.000,  1.013704, -6.933243,34B76E51-B7B8-463F-8C29-CB7155105B74
18, 138.000,  0.999112, -7.666585,0C36B18C-8460-4AB5-BE01-F1A9725F7750
19, 138.000,  0.997317, -8.101720,77F45203-9149-464D-B4EB-7CD78CE8514A
20, 138.000,  0.992833, -7.276102,FCE91F21-D3C5-4FBA-B54B-FBD6B76F73F7
21, 138.000,  0.991618, -6.076148,97C59173-F37B-43C2-918C-258C5CE92460
22, 138.000,  0.995921, -4.223579,3E5202E6-4EB3-44D9-BA80-7D920083F62C
23, 138.000,  1.008260, -0.632954,7E2C958D-EFC3-4EB3-B622-B6049DFE0F2E
24, 138.000,  1.003963, -0.353402,7ACB1FEB-4EE6-4BC5-817E-4D74D2338003
25, 138.000,  1.019258,  3.181296,0714FE46-4245-46B0-A912-CEF95F283492
26, 345.000,  0.996098,  2.737650,31AEF46D-1008-4004-874C-FF67ECD8C4EC
27, 138.000,  0.998945, -3.678704,E39441DB-CA45-46EA-B90C-9C8030BF41ED
28, 138.000,  0.993543, -4.812754,209ADEDC-536B-4687-89D3-7051B272F319
29, 138.000,  0.992261, -5.483420,2BE1FD98-90FF-4B9E-9B29-C2259BAFA511
30, 345.000,  0.997685, -4.709766,E831340A-31F5-46AD-8F68-2CE3C706C106
31, 138.000,  0.993634, -5.421373,91B8A157-68CB-489F-9E14-A59C6776A000
32, 138.000,  0.999438, -3.782936,E2773AC8-47FE-42A0-97F4-799E366CB038
33, 138.000,  1.000798, -9.053663,41AF1AFE-B4AE-4CC1-A3E0-D6314EBAB681
34, 138.000,  1.009271, -8.835297,E8D30B73-D879-46F9-8FC1-9C5FB824D043
35, 138.000,  1.005232, -9.112328,1ECA0F0B-4BED-4019-AEBE-C5B0BCB1F578
36, 138.000,  1.004609, -9.104110,E9974592-33C7-4BF6-AE6F-05D7E3C68761
37, 138.000,  1.013418, -8.556389,509CAC7B-DC02-491E-A70F-F598020F6CF3
38, 345.000,  0.977144, -5.363816,C51BDCBE-A3B9-4196-BF0C-5856B9DAD216
39, 138.000,  0.992586,-10.584402,9C83A8E3-2541-4BAE-9E8F-851255D449D5
40, 138.000,  0.987586,-11.193303,B9DFB02A-3D50-4374-9F5D-84573B20A1D5
41, 138.000,  0.982224,-11.434332,324DA15C-891F-4372-B016-B4125A295B35
42, 138.000,  0.983402,-10.277195,8437DFEF-68D9-4BFF-AA7B-EBA864F79C36
43, 138.000,  1.004126, -8.984316,F1BC13A2-B01A-405B-9B1A-E0BE7B447C2F
44, 138.000,  1.003291, -7.482040,2041413B-3BB7-4124-B6D9-CE6A9DDDDED3
45, 138.000,  0.997862, -6.252459,D6C6DD4F-36ED-4C67-9D75-050E3BD93637
46, 138.000,  1.005417, -4.460705,043F1C1A-D23E-44F5-83E0-A4A3558D3892
47, 138.000,  1.007004, -2.828784,C7FA8380-87E7-4C58-AFA0-8B2FD475ACB3
48, 138.000,  1.007524, -3.123897,7AA5117E-EAC5-4ABE-BD3F-89A0BFB2D679
49, 138.000,  1.005548, -2.263921,686B1CD1-21E6-40AC-A05B-7C65A71F6C83
50, 138.000,  0.998196, -3.209434,189D5CE3-975E-4B00-9E06-7F8DF3CF0F11
