Bus, Vpu, Vdeg, CN id
1,  1.015127, -8.224533,8DF88C0E-772B-4F4C-868B-F492885F02AE
2,  1.014016, -5.370611,8FA18F25-C9FB-45B2-B58C-27106C6DDC12
3,  1.003558, -8.442723,17B6F77B-7FB6-47A1-BFAE-330DAA96CFEC
4,  0.991034, -9.529971,A15CFD3F-F06D-4F89-8EAD-0CBC5A0864A5
5,  0.999560, -8.529013,10E26AF2-5B21-4A2E-BFDE-D72A5B89154C
6,  1.003749, -7.865626,5E850F3C-2674-4881-80FC-154CC3D4A3AB
7,  0.990733,-10.058161,B73DB4DE-2BB2-4439-8DB0-89EA909B1F97
8,  0.988614,-10.553143,644E0500-37C9-47B7-9C24-F6DCE06F4036
9,  1.007190,-10.220573,546E388F-66BD-4823-BCA5-87089BC3D51C
10,  1.015630, -5.339276,0C666C9F-577D-4F90-B1BB-82076E173F73
11,  1.010279, -6.195588,9E4D17E6-0563-457B-A5D2-1C672F67DDE1
12,  0.996685, -6.150091,A8CC1654-168C-4BE7-B6A5-6CE5BEAEB1CF
13,  1.009965, -5.998390,41B97862-4C6D-4CCC-B013-09CCB43C4F2D
14,  1.000548, -7.544419,3F31D15F-A466-4BC9-9F87-18ED1C5EC2BA
15,  0.992362, -7.575706,F6FA6F49-59B1-4431-AE39-CB886E40EAA0
16,  1.004117, -5.922316,66EC26B6-89A5-46FC-A50C-430124472DA9
17,  1.005342, -7.090004,4E2C9CAD-84E3-4C05-A48F-9D6A7F287A79
18,  1.003238, -8.057932,25CD8120-8BD8-4C66-937C-482862505F62
19,  1.038345, -0.633662,218A8A33-8366-40D5-B308-0C26A062F982
20,  0.979449, -1.646388,55ADDB1A-9D86-475F-823D-8DB1B4615AF3
21,  0.994564, -3.323577,B05235D0-AF91-41A2-8CC7-221B0C0C3BA0
22,  1.004069,  1.534783,B6E3038F-03F7-41D5-AE53-3697CFA60199
23,  0.996926,  1.325930,E02C1B2E-EAAD-4406-8D76-222D71F59D7C
24,  1.006686, -5.788909,C2207E84-7E1E-4966-B215-722F27A1659D
25,  1.024796, -3.961456,2C9C6B03-90A7-4BFD-A5FA-A6E8261CD03A
26,  1.020789, -5.203288,2E242D31-5520-4F28-9F07-4E810834107E
27,  1.007534, -7.294651,F7CE7CF4-84FB-436B-927D-93526B3D8F31
28,  1.019516, -1.484814,93C0A1C5-E4A0-48AA-AAB5-CF69A2485B5E
29,  1.020156,  1.434664,D7D64718-EF46-4D90-A36A-1AE802401649
30,  1.000000, -2.748977,99043E7E-E9B1-4497-A35D-AE70E65CBA70
31,  1.000000,  0.000000,4823C4CD-BC92-4AE6-9D3F-29E80474F6D1
32,  1.000000,  2.532660,46E66A22-13BB-40EC-BBC5-E916DB51EC91
33,  1.000000,  4.587323,99D724A8-4441-40FA-9B93-0BE877AACB6F
34,  1.000000,  3.673167,3062B20D-81F5-472A-BE9A-A1C4143000A0
35,  1.000000,  6.979636,17CA49BC-9DBC-4045-957B-5952F82CA6C5
36,  1.000000, 10.101790,58763357-CD4D-45EA-B7BE-064525D9E62F
37,  1.000000,  3.229704,1A521D68-3DD6-4F84-8E95-BEB7C4278893
38,  1.000000,  8.890380,102FA9C9-B143-4FB5-A82A-BBAB9F4D79B4
39,  1.000000, -9.931801,4CCAE276-D507-4482-8642-ED8E2856ED48
