Bus, kVbase, Vpu, Vdeg, CN id
1, 500.000,  0.983442, 27.268433,0CE4EAE7-EE27-483D-8A3B-04E13C8422DC
2, 345.000,  0.969823, 30.352585,86D5FCCB-E279-40F4-B364-4588F922C3C5
3, 230.000,  0.981165, 20.864775,E362CEFA-EC65-4279-988C-9DFF0254D01C
4, 345.000,  0.985606, 42.219182,E3CCC70B-F963-4DB9-9B16-A0CE66B70EF8
5,  20.000,  1.000000, 34.984992,3F5ADFAB-68E6-4775-B7F0-E2D66074D030
6,  20.000,  1.000000, 47.315520,D184F41F-F8BF-4776-9040-C565FCF8BEC4
7, 500.000,  0.991211,  5.597012,19B0EBC6-2287-48D1-9018-8150C3010AA5
8, 345.000,  0.961969, 15.329166,8AD9E81C-A8A0-4EB9-AEA7-5D6BC17C6290
9,  20.000,  1.000000,  7.387044,2481748C-EA1C-4612-82DF-2536B34E2D15
10, 500.000,  1.019120, 13.496701,ECE28A5D-AFF7-4CD6-9183-61240E6A1892
11, 500.000,  1.008818, 16.797735,47EEE396-D213-47D5-92E9-866DA99EA597
12,  20.000,  1.000000, 19.910342,73B4999C-523E-44AB-9E81-342D648A0E27
13, 500.000,  1.004689,  9.433669,CB47A063-8BAB-4CA5-82E0-112BCE7A8077
14, 500.000,  1.000827,  7.653694,D2F14E43-4341-4F42-9E9A-C6227EDA96CB
15, 345.000,  1.004303,  4.062588,61B2DDAC-EE27-4693-AC45-865B020B4A36
16,  20.000,  1.000000, 14.592354,6D357571-4872-4EBF-AED6-2800291DDCF7
17,  20.000,  1.000000,  6.833606,ACD1B89A-2059-46B1-8603-B84E58473910
18, 500.000,  1.004714,  4.094263,D58029CC-87A7-4DE7-B62A-F7203B94B7DB
19, 500.000,  0.981739, -1.735215,191DDA2C-4A44-4929-AEDF-8B3E6C91B8CC
20, 230.000,  1.004498,  4.276231,944900A2-3D6D-406B-8FA7-249876A8F0DD
21,  20.000,  1.000000,  7.281723,9F995B68-4F25-4645-934F-14857EEE1B71
22, 230.000,  1.004123, -1.579770,F386CA00-D1A1-4339-9544-25986FD57E11
23,  20.000,  1.000000,  3.361747,C69A6C24-4FCF-46CB-98FC-9122F3BD7155
24, 230.000,  0.999552,  5.255436,7D378944-27FB-42B6-A611-F79C0DE904AB
25,  20.000,  1.000000,  8.906069,836CB80D-4891-40B2-8874-EBEBF73934E7
26, 500.000,  1.010836,-11.073164,61CB9A3C-80FE-43F9-B461-13493878166E
27, 230.000,  1.013029,-12.322741,58064458-13F0-4E04-82AC-BCD2CEB53AFC
28, 230.000,  1.005065,-12.632018,BECA2452-CD65-4420-BA52-D6B4C9C87520
29,  20.000,  1.000000,-11.147186,DBAED446-4BAB-4DFC-9679-D9188F442169
30, 500.000,  1.005302,  1.940809,DD2F3522-9DAA-47A8-8A13-3571D5DF7AF7
31, 230.000,  1.000886,  3.053084,6108167A-C35D-45F1-BBA5-CF37A318763C
32,  20.000,  1.000000,  3.304391,96FB4CB4-87CE-49BB-A107-FE2FF26E51E4
33, 500.000,  1.004640, -2.644830,B59A8EF3-0E3C-4BA3-9BC4-833AB9959750
34, 500.000,  1.000846,  3.932812,98606D51-10A0-41C0-8D96-5D56ADDA5B0B
35, 500.000,  0.997431, -1.597085,677DB93B-ABFD-4560-84D2-51386A704877
36, 500.000,  1.001314, -5.915521,A557F455-F380-4E01-953A-5DCD0F0A8757
37, 500.000,  1.004218,  9.509611,55719708-04C9-4056-B157-A67EE9D2B453
38, 230.000,  0.998782,  5.665070,1856B8D9-7604-4B32-A0E5-5F39B8B2BF10
39, 230.000,  0.987455, -0.959322,852BD924-E9C9-4321-B332-F11466ADABB9
40, 230.000,  0.962802,-11.060303,60EEE2B6-810A-4A75-9A66-140D85243E06
41, 230.000,  0.997727,  1.522158,C9646B80-1610-4EF0-A35C-C7A8CBF52E96
42, 230.000,  0.999881, -3.290844,B9F6417E-908E-4BB1-B933-581FFA500A22
43, 230.000,  0.996214,  2.094440,CE9B78FD-9074-4700-9D91-558D2FC4F02E
44, 230.000,  1.000153,  6.906192,D712F4C7-A068-43EF-92A3-1229DAFCAD37
45,  20.000,  1.000000,  3.961436,6A198E0E-6B24-486D-AC8B-5884B9B6A2D1
46,  20.000,  1.000000,  6.934836,53647398-BFD8-4523-B95C-1BB0671D4990
47,  20.000,  1.000000,  0.000000,38823501-666E-4AF7-86C9-3040C4B30862
48,  20.000,  1.000000, -3.233541,97CD0FE9-BD9F-4B7F-83A3-D72640A4156A
49, 500.000,  0.994524, -4.237042,99D704FC-A9E9-4B1C-9E1C-15EAE2A012B5
50, 230.000,  0.993453, -5.967976,DCEED5A8-089C-41F2-946A-2E497E31BF91
51, 230.000,  1.001038, -8.221662,4B47B792-936A-4FBA-934F-CCE10B7CC3BD
52,  20.000,  1.000000, -7.678195,E548D2E0-4EFA-4B4F-BA25-F3BDBB78A2EF
53, 500.000,  1.016080,  8.465667,1A8F8D21-F52A-4412-9926-719077699AE6
54, 500.000,  1.018006,  7.636277,D7D91C38-BD09-4D1D-AE83-1D569EE77D42
