Bus, Pg, Qg, Type, CEQ id
244,  856.000000,  328.863503,ST,23203FA6-F7AD-4AC3-BE97-FEDD5F2265A6
5,  712.000000,  269.680056,ST,5614EFC7-C0C4-42A0-8417-082D54AE8080
246, 2565.000000,  459.765862,ST,2F774170-7360-4EE9-BC37-B8574680A191
6, 1847.000000,  332.153686,ST,8999A5B3-06E8-4A12-A82D-C355E947964D
248, 2064.000000,  412.000697,ST,4888686C-D952-43B6-ABB8-973F4379A609
9,  530.000000,  138.144461,ST,320B24C9-2B90-48DB-B426-C2557EEA2524
249,  657.000000, -107.513195,HY,E36178F8-FEF4-41AD-99B0-9E381FCB8E22
12, 2728.000000, -448.335701,ST,D34E3675-88C5-487E-B037-FE7D29A82B79
250, 2133.000000,  -81.926317,HY,8CD36F81-7FF0-4A69-8ABB-42E95348A2FF
16, 1986.000000,  -73.399275,ST,FA7625CE-A5BF-4E7E-ABB2-03D83F76F7D9
251, 3662.000000, -306.377386,ST,45943091-FCA9-439F-B45D-DCEEE2261EF3
17,  218.000000,  -19.799043,ST,9DA99F4C-8013-41E5-B024-0749E7C20ECE
253, 2355.000000, -212.858778,ST,CA6E07FB-9592-475B-AD6A-1B20DBD7A762
254, 1353.000000, -124.347214,ST,546E2E62-0769-4FF7-B1D4-C5D86959849D
21, 5129.000000, -452.280748,ST,2EDD59B9-CE45-45F0-AD4E-5150DA3D6978
255, 1853.000000,  -60.263663,ST,BE247DEB-A995-47EE-BB13-1163BC56663F
23,  605.000000,  -18.185620,ST,F2DB5849-F523-4C84-A0CA-AF78CD61EE8D
257,  273.000000,    4.264257,HY,3B1BD1B3-F11B-4211-8E54-A51F3DE750C0
258,   79.000000,    1.157410,ST,BC78B15D-F813-4D58-AD35-C7F9E80AC7CC
25,  573.000000,    7.889962,ST,5E0400E1-F452-4276-B55C-A699E4C09149
259,  506.000000, -101.498676,ST,C756FB53-5163-4556-B447-119A6596C917
260,  202.000000,  -40.040090,ST,0EB64DD7-6626-421D-B974-E6493F9A9E54
29,  285.000000,  -58.738113,ST,88C580A5-93CA-4AFC-8C88-7DDEC1FF768C
263,  251.000000,   20.627554,ST,7ED05B33-FE15-4F5C-A88F-462B1EBD9874
264,  901.000000,   71.891946,ST,FD14F751-F5C6-4FB3-AA9C-8B84D550C794
265,  233.000000,   26.305421,ST,B72B4AE5-27D5-4DAF-8E76-384E525D13D2
267, 1276.000000,  101.487741,ST,87EE6EC5-3035-4C3B-94C0-3397FC76925D
47, -272.242109,   54.975356,ST,3FE73726-03BA-405B-82C9-D70566350E65
75, 2282.000000,  101.349763,ST,3C3D5A19-C912-4395-97AB-60E52D3858E5
77, 1537.000000,   55.798041,ST,9B69B19F-96EC-4834-A7D7-B6B22F8F4809
