From, To, Ratio, Pfrom, Qfrom, Pto, Qto, CEQ/XfEnd id
100,101,0.0000,   29.178622,    0.271763,  -28.942884,   -2.457019,284B4BEC-DD79-4D27-8E19-DFD571D73640
100,103,0.0000,  -14.127751,    2.544908,   14.163915,   -7.803058,F5F0736E-4CD6-476B-8C83-EEB95C9560B4
100,104,0.0000,    5.655006,   -1.865944,   -5.640361,   -3.478116,9CBE4964-AE66-469A-A36D-C164F39F316F
100,106,0.0000,   15.014327,   -2.560060,  -14.878857,   -3.093941,67AC299D-2F0D-4F3A-8F95-20C5DCDCA953
101,102,0.0000,   14.337393,   -7.501003,  -14.276892,    4.873406,E365EDD4-6293-4D16-9C6D-9717301FF219
103,104,0.0000,   11.926281,   -3.054406,  -11.859827,   -0.786356,11C77506-AFB8-44A4-8C43-867DDB0D8841
103,105,0.0000,   16.467383,   -4.731603,  -16.319138,    1.106563,FB86D588-F6A7-4DAF-B3AE-7F03441D7CAD
103,110,0.0000,    1.745183,   -0.291317,   -1.742412,   -4.300348,AF6C4B4F-9072-463E-BD2A-B90F3AE80D4A
104,105,0.0000,   21.975870,   -5.431237,  -21.925188,    4.643226,359E8AD9-6A0B-4DAC-AF1F-DB266571EAAA
105,106,0.0000,   26.452108,    2.229997,  -26.352406,   -3.258995,2BCC81B5-CF63-44C4-ABFC-45CF448CD155
105,107,0.0000,   20.645701,   -3.494899,  -20.418476,   -0.378277,22EB7BD5-9EA4-4CEF-93B6-0156A6ED4D81
105,108,0.0000,   -9.664074,    4.002664,    9.694926,   -5.751748,1AADCD06-4F92-4D1D-9B90-4DE959BBDCB6
106,107,0.0000,   12.679454,   -4.271336,  -12.591075,   -0.057451,FEA4B950-F80A-4BA0-9066-4686B7CF2C59
108,109,0.0000,  -11.034926,    5.081748,   11.050958,   -5.791833,6D807D57-C83E-478A-8521-EFC48081935C
109,110,0.0000,  -16.404583,    3.784472,   16.486396,   -5.565889,0895EBEB-3CA4-4D2D-94D5-B45097D66754
110,111,0.0000,  -56.161120,    7.273715,   56.874122,   -6.828263,8D170689-22A3-4A63-AB8E-0968890B805F
110,112,0.0000,   35.254526,   -4.796206,  -34.945301,   -0.520263,17F4026E-6B90-4351-B904-8731DCBE7AF7
