From, To, Ratio, Pfrom, Qfrom, Pto, Qto, CEQ/XfEnd id
1,10,0.0000,  559.118801, -256.561950, -553.309111,   21.173920,4EF82C1A-46A9-4D81-B3EA-FA9850E6A988
1,11,0.0000,  128.853981,  -43.336182, -126.940128,   27.496510,C91ACD57-202A-4CB3-95B2-E82023D5FA35
2,4,0.0000,-3394.394886,  475.628490, 3456.413931,  173.336354,3DBAED1E-D64C-4A06-9583-99EAC7291894
2,8,0.0000, 1124.160410,  -67.268353,-1100.228491,   90.120856,67BC49A0-8E15-4CDE-A44D-51FEAAF53714
2,8,0.0000, 1124.160410,  -67.268353,-1100.228491,   90.120856,9E56ED66-D767-450B-9D19-CBC4C5514953
2,227,0.0000,   -6.502010, -117.524324,    6.861567,   51.063828,DFFE017F-9C41-4F40-B964-EA8BC6585FCB
4,233,0.0000,  673.968245,  252.074072, -624.346951,  346.851811,B0A75782-A5F7-4DFB-864D-354D195FC651
4,234,0.0000,  814.988468,  297.274884, -732.097620,  441.951644,3C0D02EB-22BF-43DE-8D3F-7D154FC3F827
7,18,0.0000,  -34.374124, -105.773282,   34.495622,    5.022409,B141E73E-6313-43BF-B871-A648CA038058
7,18,0.0000,  -34.374124, -105.773282,   34.495622,    5.022409,15704A47-F5FD-47E2-8C8F-AE6FED91A854
10,11,0.0000, -892.974942,  367.583906,  900.243226, -461.792185,464E9DDE-2406-401A-9014-5D0E9BB49B54
10,19,0.0000, 1055.724229,   64.285820,-1035.737377, -116.389169,4A0653EE-F335-468B-907B-DCB5BAE6349C
10,80,0.0000,  230.031505, -454.827363, -227.785480,   42.522514,63651A4D-1C9B-4090-8241-7B3A8B3B1934
11,14,0.0000,  855.252299,  -29.344838, -835.160897,   78.030760,0B257D67-AF12-4D5C-BB58-BAC0F19178C6
11,19,0.0000,  906.467890,  -82.654221, -886.408190, -109.315842,942C8DA7-35B3-486C-AAAD-8C2F108E878C
13,14,0.0000,  334.413253,  -50.894392, -331.310135,  -27.877361,D4F0FAD5-05DC-41ED-A767-6EBA731307A2
13,19,0.0000,  992.169836,   32.265443, -964.660387,   74.535283,AD866988-FEE8-41A1-B5DE-94A55132438A
13,19,0.0000,  311.163815,  -17.432413, -305.122085,  -26.972568,51CACEB0-DEB7-4379-B68E-6B86888759A0
13,56,0.0000, -192.926029,  -59.490774,  193.604984,   14.343110,DA75CE00-4439-4F56-A51D-4679DBEB0D44
13,80,0.0000,  -33.365710,  -64.120540,   33.726249,   32.401410,ED93CCC5-CED4-4260-952B-F19648BC1A75
15,228,0.0000, -179.743597,  -13.677339,  182.486442,  -51.246742,BD76EC6B-3EC1-4E42-9957-4AD9DFDD2FE5
18,19,0.0000, 1053.625433,  213.327331,-1048.963773, -190.599284,E9002764-3031-4FEA-9CFB-EE55205301DC
18,19,0.0000, 1053.625433,  213.327331,-1048.963773, -190.599284,B6178343-2DAE-4CA0-AE5C-84CEFC958F1B
18,30,0.0000,  -22.590851, -111.232474,   22.604096, -106.382067,B5D87C6E-5A77-4084-96DF-A1788D198E68
18,33,0.0000,  174.968523, -126.802727, -174.175187,  -82.055988,F449A78D-6E4A-4BEC-A2F1-796E21A0628D
20,24,0.0000,  -86.782762,    9.690666,   87.440600,  -20.241883,A77F41D6-2E3F-4F82-9576-6BACA46292D4
22,27,0.0000,  293.916767,  -10.561804, -292.735646,   41.223148,CBA442FA-F378-4332-A8A8-F29AF7BF8B71
22,31,0.0000, -142.138902,    8.164184,  142.418546,  -12.563767,A666392A-471D-4EF5-8749-07F57AFADF30
24,31,0.0000,   67.100150,  -14.943956,  -66.716146,    2.158278,42A86FD9-9B26-4C70-B0CA-9344108B85BF
26,30,0.0000, -768.948498,   47.548921,  779.693503, -115.583595,C61E1A2B-18AB-4633-980A-0AEA02738811
27,28,0.0000,  -27.101909,   28.809073,   27.164905,  -43.779166,B5A0F401-2D94-49EE-BE3E-AE312593906D
27,28,0.0000,  -27.101909,   28.809073,   27.164905,  -43.779166,BD3462D4-E0C2-443E-B0FB-0DE8BE4375C7
27,51,0.0000, -358.162210,   99.390220,  362.398927,  -75.686212,21178ABD-5E1E-449B-A2BC-C12503FC379A
